HAEGU_NUM	LAT	LON
1	42.66666667	131.6666667
2	42.16666667	130.1666667
3	42.16666667	130.6666667
4	42.16666667	131.1666667
5	42.16666667	131.6666667
6	41.66666667	129.6666667
7	41.66666667	130.1666667
8	41.66666667	130.6666667
9	41.66666667	131.1666667
10	41.66666667	131.6666667
11	41.16666667	129.6666667
12	41.16666667	130.1666667
13	41.16666667	130.6666667
14	41.16666667	131.1666667
15	41.16666667	131.6666667
16	40.66666667	129.1666667
17	40.66666667	129.6666667
18	40.66666667	130.1666667
19	40.66666667	130.6666667
20	40.66666667	131.1666667
21	40.66666667	131.6666667
22	40.16666667	128.6666667
23	40.16666667	129.1666667
24	40.16666667	129.6666667
25	40.16666667	130.1666667
26	40.16666667	130.6666667
27	40.16666667	131.1666667
28	40.16666667	131.6666667
29	39.66666667	127.6666667
30	39.66666667	128.1666667
31	39.66666667	128.6666667
32	39.66666667	129.1666667
33	39.66666667	129.6666667
34	39.66666667	130.1666667
35	39.66666667	130.6666667
36	39.66666667	131.1666667
37	39.66666667	131.6666667
38	39.16666667	127.6666667
39	39.16666667	128.1666667
40	39.16666667	128.6666667
41	39.16666667	129.1666667
42	39.16666667	129.6666667
43	39.16666667	130.1666667
44	39.16666667	130.6666667
45	39.16666667	131.1666667
46	39.16666667	131.6666667
47	38.66666667	128.1666667
48	38.66666667	128.6666667
49	38.66666667	129.1666667
50	38.66666667	129.6666667
51	38.66666667	130.1666667
52	38.66666667	130.6666667
53	38.66666667	131.1666667
54	38.66666667	131.6666667
55	38.16666667	128.6666667
56	38.16666667	129.1666667
57	38.16666667	129.6666667
58	38.16666667	130.1666667
59	38.16666667	130.6666667
60	38.16666667	131.1666667
61	38.16666667	131.6666667
62	37.83333333	128.8333333
63	37.66666667	129.1666667
64	37.66666667	129.6666667
65	37.66666667	130.1666667
66	37.66666667	130.6666667
67	37.66666667	131.1666667
68	37.66666667	131.6666667
69	37.16666667	129.1666667
70	37.16666667	129.6666667
71	37.16666667	130.1666667
72	37.16666667	130.6666667
73	37.16666667	131.1666667
74	37.16666667	131.6666667
75	36.66666667	129.3333333
76	36.66666667	129.6666667
77	36.66666667	130.1666667
78	36.66666667	130.6666667
79	36.66666667	131.1666667
80	36.66666667	131.6666667
81	36.16666667	129.3333333
82	36.16666667	129.6666667
83	36.16666667	130.1666667
84	36.16666667	130.6666667
85	36.16666667	131.1666667
86	36.16666667	131.6666667
87	35.66666667	129.6666667
88	35.66666667	130.1666667
89	35.66666667	130.6666667
90	35.66666667	131.1666667
91	35.66666667	131.6666667
92	35.16666667	129.1666667
93	35.16666667	129.6666667
94	35.16666667	130.1666667
95	35.16666667	130.6666667
96	35.16666667	131.1666667
97	34.66666667	127.6666667
98	34.66666667	128.1666667
99	34.66666667	128.6666667
100	34.66666667	129.1666667
101	34.66666667	129.6666667
102	34.66666667	130.1666667
103	34.66666667	130.6666667
104	34.16666667	127.6666667
105	34.16666667	128.1666667
106	34.16666667	128.6666667
107	34.16666667	129.1666667
108	34.16666667	129.6666667
109	34.16666667	130.1666667
110	33.66666667	127.6666667
111	33.66666667	128.1666667
112	33.66666667	128.6666667
113	33.16666667	127.6666667
114	33.16666667	128.1666667
115	32.66666667	127.6666667
116	39.66666667	123.1666667
117	39.66666667	123.6666667
118	39.66666667	124.1666667
119	39.16666667	122.6666667
120	39.16666667	123.1666667
121	39.16666667	123.6666667
122	39.16666667	124.1666667
123	39.16666667	124.6666667
124	39.16666667	125.1666667
125	38.66666667	122.1666667
126	38.66666667	122.6666667
127	38.66666667	123.1666667
128	38.66666667	123.6666667
129	38.66666667	124.1666667
130	38.66666667	124.6666667
131	38.16666667	121.6666667
132	38.16666667	122.1666667
133	38.16666667	122.6666667
134	38.16666667	123.1666667
135	38.16666667	123.6666667
136	38.16666667	124.1666667
137	38.16666667	124.6666667
138	37.66666667	121.6666667
139	37.66666667	122.1666667
140	37.66666667	122.6666667
141	37.66666667	123.1666667
142	37.66666667	123.6666667
143	37.66666667	124.1666667
144	37.66666667	124.6666667
145	37.66666667	125.1666667
146	37.66666667	125.6666667
147	37.16666667	122.6666667
148	37.16666667	123.1666667
149	37.16666667	123.6666667
150	37.16666667	124.1666667
151	37.16666667	124.6666667
152	37.16666667	125.1666667
153	37.16666667	125.6666667
154	37.16666667	126.1666667
155	36.66666667	121.6666667
156	36.66666667	122.1666667
157	36.66666667	122.6666667
158	36.66666667	123.1666667
159	36.66666667	123.6666667
160	36.66666667	124.1666667
161	36.66666667	124.6666667
162	36.66666667	125.1666667
163	36.66666667	125.6666667
164	36.66666667	126.1666667
165	36.16666667	121.6666667
166	36.16666667	122.1666667
167	36.16666667	122.6666667
168	36.16666667	123.1666667
169	36.16666667	123.6666667
170	36.16666667	124.1666667
171	36.16666667	124.6666667
172	36.16666667	125.1666667
173	36.16666667	125.6666667
174	36.16666667	126.1666667
175	35.66666667	121.6666667
176	35.66666667	122.1666667
177	35.66666667	122.6666667
178	35.66666667	123.1666667
179	35.66666667	123.6666667
180	35.66666667	124.1666667
181	35.66666667	124.6666667
182	35.66666667	125.1666667
183	35.66666667	125.6666667
184	35.66666667	126.1666667
185	35.16666667	121.6666667
186	35.16666667	122.1666667
187	35.16666667	122.6666667
188	35.16666667	123.1666667
189	35.16666667	123.6666667
190	35.16666667	124.1666667
191	35.16666667	124.6666667
192	35.16666667	125.1666667
193	35.16666667	125.6666667
194	35.16666667	126.1666667
195	34.66666667	121.6666667
196	34.66666667	122.1666667
197	34.66666667	122.6666667
198	34.66666667	123.1666667
199	34.66666667	123.6666667
200	34.66666667	124.1666667
201	34.66666667	124.6666667
202	34.66666667	125.1666667
203	34.66666667	125.6666667
204	34.66666667	126.1666667
205	34.16666667	122.6666667
206	34.16666667	123.1666667
207	34.16666667	123.6666667
208	34.16666667	124.1666667
209	34.16666667	124.6666667
210	34.16666667	125.1666667
211	34.16666667	125.6666667
212	34.16666667	126.1666667
213	34.16666667	126.6666667
214	34.16666667	127.1666667
215	33.66666667	122.6666667
216	33.66666667	123.1666667
217	33.66666667	123.6666667
218	33.66666667	124.1666667
219	33.66666667	124.6666667
220	33.66666667	125.1666667
221	33.66666667	125.6666667
222	33.66666667	126.1666667
223	33.66666667	126.6666667
224	33.66666667	127.1666667
225	33.16666667	122.6666667
226	33.16666667	123.1666667
227	33.16666667	123.6666667
228	33.16666667	124.1666667
229	33.16666667	124.6666667
230	33.16666667	125.1666667
231	33.16666667	125.6666667
232	33.16666667	126.1666667
233	33.16666667	126.6666667
234	33.16666667	127.1666667
235	32.66666667	122.6666667
236	32.66666667	123.1666667
237	32.66666667	123.6666667
238	32.66666667	124.1666667
239	32.66666667	124.6666667
240	32.66666667	125.1666667
241	32.66666667	125.6666667
242	32.66666667	126.1666667
243	32.66666667	126.6666667
244	32.66666667	127.1666667
245	32.16666667	122.6666667
246	32.16666667	123.1666667
247	32.16666667	123.6666667
248	32.16666667	124.1666667
249	32.16666667	124.6666667
250	32.16666667	125.1666667
251	32.16666667	125.6666667
252	32.16666667	126.1666667
253	32.16666667	126.6666667
254	32.16666667	127.1666667
258	28.16666667	135.1666667
259	28.16666667	135.6666667
