YYYYMMDD	Cochlo_YN	type	Cell_min	Cell_max	LAT	LON
20010608	0	Hetrosigma akashiwo	20000	30000	36.039589	129.390285
20010407	0	Eutreptiella gymnastica	1600	NA	36.039589	129.390285
20100412	0	Alexandrium tamarense	2500	3800	35.09351338	128.4627027
20100609	0	Prorocentrum minimum	13000	60000	35.19258534	128.5828318
20100608	0	Prorocentrum minimum	15000	50000	35.14158095	128.6765024
20100609	0	Prorocentrum dentatum	10000	45000	35.19258534	128.5828318
20000808	0	Noctiluca scintillans	80	1000	36.375311	129.435443
20100727	0	Skeletonema costatum	1840	5480	36.42349994	126.447806
20100806	0	Chattonella antiqua	262	1476	36.08481437	126.5650937
20100806	0	Chattonella antiqua	700	900	36.08481437	126.5650937
20100809	0	Chattonella antiqua	64	620	36.11812522	126.4895136
20100809	0	Chattonella antiqua	250	900	36.11812522	126.4895136
20100818	0	Chattonella antiqua	50	800	35.90360282	126.442638
20100823	0	Chaetoceros sp.	0	10	35.90151471	126.4815024
20100818	0	Ceratium furca	250	300	35.90360282	126.442638
20000828	0	Ceratium furca	400	NA	36.099196	129.452736
20100823	0	Skeletonema costatum	1000	8000	35.90151471	126.4815024
20100819	0	Chattonella antiqua	50	800	35.89912823	126.4657367
20100819	0	Thalassiosira sp.	250	400	35.89912823	126.4657367
20110907	0	Prorocentrum micans	2000	2000	35.22302703	129.2290042
20110922	0	Mesodinium rubrum	7500	7500	34.74836733	127.7576926
20020909	0	NA	20	5000	36.375311	129.435443
20000630	0	Heterosigma akashiwo	1000	5000	36.099196	129.452736
20111011	0	Mesodinium rubrum	5	3000	34.70634021	127.7766943
20111108	0	Akashiwo sanguinea	1000	3000	34.84711585	128.4058351
20000828	0	Chaetoceros 속,?	5600	6800	36.099196	129.452736
20110526	0	Scrippsiella trochoidea	600	800	34.80486722	128.7054328
20111104	0	Akashiwo sanguinea	500	2000	34.87329009	128.5464937
20111121	0	Akashiwo sanguinea	310	1850	34.86653715	128.5438358
20111221	0	Mesodinium rubrum	9320	9320	33.27164127	126.6609938
20111110	0	Akashiwo sanguinea	500	1100	34.94865454	128.6395251
20010830	1	Cochlodinium polykrikoides	100	1500	36.375311	129.435443
20111108	0	Akashiwo sanguinea	58	313	35.05904392	128.7556308
20110528	0	Heterocapsa sp.	60	2300	35.04983403	128.7900583
20111006	0	Akashiwo sanguinea	750	2200	35.03501807	128.5914165
20120531	0	Prorocentrum dentatum	2000	4000	36.0451802	129.3860056
20121026	0	Mesodinium rubrum	5000	8000	35.93417823	129.5606064
20120829	0	Ceratium furca	4000	6000	36.11360506	129.5183111
20121006	0	Noctiluca scintillans	300	500	35.15808065	129.171676
20020821	0	NA	1000	NA	36.099196	129.452736
20000828	0	Skeletonema costatum,	5000	6000	36.099196	129.452736
20120808	1	Cochlodinium polykrikoides	100	5500	34.77018164	127.8304466
20120819	1	Cochlodinium polykrikoides	80	530	34.77591469	127.8971917
20120819	1	Cochlodinium polykrikoides	68	1128	34.77591469	127.8971917
20120829	0	Cochlodinium polykrikoides	13	13	34.67542506	127.8961214
20120819	1	Cochlodinium polykrikoides	85	960	34.77591469	127.8971917
20120808	0	Cochlodinium polykrikoides	20	150	34.77018164	127.8304466
20120809	1	Cochlodinium polykrikoides	100	4800	34.91255256	127.8163773
20000808	0	Skeletonema 외 2종	12000	NA	36.099196	129.452736
20120829	0	Cochlodinium polykrikoides	3	14	34.67542506	127.8961214
20000817	0	Skeletonema costatum	8020	9000	36.099196	129.452736
20120829	0	Cochlodinium polykrikoides	0	0	34.67542506	127.8961214
20120809	0	Cochlodinium polykrikoides	10	120	34.91255256	127.8163773
20120819	1	Cochlodinium polykrikoides	660	2500	34.77591469	127.8971917
20120728	1	Cochlodinium polykrikoides	540	930	34.42637633	127.5628878
20120821	1	Cochlodinium polykrikoides	20	2400	34.79807949	127.857443
20120809	1	Cochlodinium polykrikoides	160	2800	34.91255256	127.8163773
20120728	1	Cochlodinium polykrikoides	80	410	34.42637633	127.5628878
20120728	1	Cochlodinium polykrikoides	140	580	34.42637633	127.5628878
20010529	0	Heterosigma akashiwo	7600	11600	36.112699	129.455543
20120821	1	Cochlodinium polykrikoides	60	1050	34.79807949	127.857443
20120821	1	Cochlodinium polykrikoides	480	1240	34.79807949	127.857443
20120809	1	Cochlodinium polykrikoides	90	180	34.91255256	127.8163773
20120819	1	Cochlodinium polykrikoides	320	2600	34.77591469	127.8971917
20120821	1	Cochlodinium polykrikoides	78	210	34.79807949	127.857443
20121005	1	Cochlodinium polykrikoides	1200	8280	34.7799482	127.7807514
20120829	0	Cochlodinium polykrikoides	0	0	34.67542506	127.8961214
20120804	1	Cochlodinium polykrikoides	80	4800	34.66907908	127.7994141
20120804	1	Cochlodinium polykrikoides	119	780	34.66907908	127.7994141
20120829	0	Cochlodinium polykrikoides	1	1	34.67542506	127.8961214
20120821	1	Cochlodinium polykrikoides	560	5820	34.79807949	127.857443
20010319	0	Cryptomonas acuta	48400	158400	36.039589	129.390285
20030915	0	NA	200	15000	36.099196	129.452736
20120829	0	Cochlodinium polykrikoides	0	0	34.67542506	127.8961214
20020905	0	NA	680	4480	36.099196	129.452736
20020914	0	NA	10	600	36.099196	129.452736
20121002	1	Cochlodinium polykrikoides	500	1500	34.77700178	127.8330791
20120804	1	Cochlodinium polykrikoides	390	1100	34.66907908	127.7994141
20121005	1	Cochlodinium polykrikoides	4200	8500	34.7799482	127.7807514
20120814	1	Cochlodinium polykrikoides	330	5820	34.59256243	127.7159928
20120814	1	Cochlodinium polykrikoides	30	230	34.59256243	127.7159928
20120821	1	Cochlodinium polykrikoides	180	360	34.79807949	127.857443
20120804	1	Cochlodinium polykrikoides	50	1300	34.66907908	127.7994141
20121005	1	Cochlodinium polykrikoides	1110	6570	34.7799482	127.7807514
20120814	1	Cochlodinium polykrikoides	210	2000	34.59256243	127.7159928
20120814	1	Cochlodinium polykrikoides	20	650	34.59256243	127.7159928
20120805	0	Cochlodinium polykrikoides	30	50	34.79592955	128.0719006
20120805	0	Cochlodinium polykrikoides	20	160	34.79592955	128.0719006
20000619	0	Proro. micans	2000	5000	36.099196	129.452736
20120824	0	Cochlodinium polykrikoides	0	0	34.74261336	128.2409556
20120824	0	Cochlodinium polykrikoides	0	0	34.74261336	128.2409556
20120824	0	Cochlodinium polykrikoides	0	0	34.74261336	128.2409556
20120731	1	Cochlodinium polykrikoides	220	960	34.73064137	128.3872056
20120727	1	Cochlodinium polykrikoides	340	530	34.73708811	128.3570216
20120805	1	Cochlodinium polykrikoides	20	7600	34.79592955	128.0719006
20020820	0	NA	4000	5000	36.099196	129.452736
20120727	1	Cochlodinium polykrikoides	400	400	34.73708811	128.3570216
20120805	1	Cochlodinium polykrikoides	250	3960	34.79592955	128.0719006
20120802	0	Cochlodinium polykrikoides	0	0	34.82356526	128.208476
20030917	0	NA	100	32000	36.099196	129.452736
20120802	0	Cochlodinium polykrikoides	0	0	34.82356526	128.208476
20120802	1	Cochlodinium polykrikoides	20	440	34.82356526	128.208476
20000619	0	Proro. Minimum	10000	15000	36.099196	129.452736
20030905	0	NA	10	6800	36.099196	129.452736
20120731	1	Cochlodinium polykrikoides	80	930	34.73064137	128.3872056
20060125	0	NA	30000	60000	36.00858986	129.3701022
20060125	0	NA	30000	60000	36.00858986	129.3701022
20120731	1	Cochlodinium polykrikoides	8	1050	34.73064137	128.3872056
20120731	1	Cochlodinium polykrikoides	40	500	34.73064137	128.3872056
20120731	1	Cochlodinium polykrikoides	40	360	34.73064137	128.3872056
20121003	1	Cochlodinium polykrikoides	20	1650	34.77493488	127.9387336
20120824	0	Cochlodinium polykrikoides	0	0	34.74261336	128.2409556
20120816	1	Cochlodinium polykrikoides	120	2480	34.74668519	128.2478104
20000217	0	Eutreptiella gymnastica	8000	15000	36.039589	129.390285
20121019	0	Cochlodinium polykrikoides	0	100	34.70117543	127.9561328
20121019	1	Cochlodinium polykrikoides	50	620	34.70117543	127.9561328
20120816	1	Cochlodinium polykrikoides	40	320	34.74668519	128.2478104
20120816	1	Cochlodinium polykrikoides	16	2730	34.74668519	128.2478104
20120816	1	Cochlodinium polykrikoides	20	800	34.74668519	128.2478104
20121019	1	Cochlodinium polykrikoides	50	5000	34.70117543	127.9561328
20121019	0	Cochlodinium polykrikoides	0	50	34.70117543	127.9561328
20120806	1	Cochlodinium polykrikoides	100	6400	34.74345972	128.5198884
20120729	1	Cochlodinium polykrikoides	140	320	34.73440639	128.5297482
20120729	1	Cochlodinium polykrikoides	80	120	34.73440639	128.5297482
20120729	1	Cochlodinium polykrikoides	110	170	34.73440639	128.5297482
20120729	1	Cochlodinium polykrikoides	80	680	34.73440639	128.5297482
20120730	1	Cochlodinium polykrikoides	140	220	34.78678495	128.6916694
20120818	1	Cochlodinium polykrikoides	80	3600	34.72467975	128.4307757
20120806	1	Cochlodinium polykrikoides	140	4090	34.74345972	128.5198884
20120818	1	Cochlodinium polykrikoides	200	960	34.72467975	128.4307757
20120730	1	Cochlodinium polykrikoides	40	480	34.78678495	128.6916694
20020604	0	NA	20000	32000	36.039589	129.390285
20060731	0	NA	0	10	36.06864573	129.4547065
20120729	1	Cochlodinium polykrikoides	10	480	34.73440639	128.5297482
20120806	0	Cochlodinium polykrikoides	20	120	34.74345972	128.5198884
20120729	1	Cochlodinium polykrikoides	480	870	34.73440639	128.5297482
20020524	0	NA	20000	32000	36.039589	129.390285
20120803	1	Cochlodinium polykrikoides	80	1450	34.73100789	128.5943859
20120730	1	Cochlodinium polykrikoides	8	1000	34.78678495	128.6916694
20120730	1	Cochlodinium polykrikoides	180	1230	34.78678495	128.6916694
20120903	0	Mesodinium rubrum	2200	2200	34.76663159	128.6593285
20020910	0	NA	20	500	36.375311	129.435443
20120803	1	Cochlodinium polykrikoides	212	404	34.73100789	128.5943859
20120813	1	Cochlodinium polykrikoides	184	1300	34.76456955	128.4577729
20120813	1	Cochlodinium polykrikoides	290	1880	34.76456955	128.4577729
20120801	1	Cochlodinium polykrikoides	500	1350	34.80731098	128.6750534
20120801	1	Cochlodinium polykrikoides	60	1800	34.80731098	128.6750534
20120803	1	Cochlodinium polykrikoides	120	260	34.73100789	128.5943859
20120818	1	Cochlodinium polykrikoides	110	2920	34.72467975	128.4307757
20120818	1	Cochlodinium polykrikoides	896	1715	34.72467975	128.4307757
20120704	0	Heterosigma akashiwo	0	0	34.90708117	128.6218265
20120619	0	Heterosigma akashiwo	2500	4200	34.91023707	128.6055329
20121026	0	Mesodinium rubrum	250	1600	34.78154585	128.6716539
20120801	1	Cochlodinium polykrikoides	40	280	34.80731098	128.6750534
20120801	1	Cochlodinium polykrikoides	220	340	34.80731098	128.6750534
20121024	0	Mesodinium rubrum	750	2800	34.9041818	128.6058831
20121024	0	Mesodinium rubrum	800	2100	34.9041818	128.6058831
20120801	1	Cochlodinium polykrikoides	320	1460	34.80731098	128.6750534
20121026	0	Alexandrium sp.	40	70	34.78154585	128.6716539
20120730	1	Cochlodinium polykrikoides	80	1510	34.78678495	128.6916694
20120818	1	Cochlodinium polykrikoides	340	1800	34.72467975	128.4307757
20121008	0	Mesodinium rubrum	950	1100	34.90648012	128.7168099
20120813	1	Cochlodinium polykrikoides	20	800	34.76456955	128.4577729
20120813	1	Cochlodinium polykrikoides	20	380	34.76456955	128.4577729
20120803	1	Cochlodinium polykrikoides	1100	3900	34.73100789	128.5943859
20121022	0	Mesodinium rubrum	750	1800	34.73058661	128.5996784
20120818	1	Cochlodinium polykrikoides	750	5780	34.72467975	128.4307757
20121026	0	Mesodinium rubrum	320	1200	34.78154585	128.6716539
20121010	0	Mesodinium rubrum	900	2200	34.85614868	128.6897505
20121024	0	Mesodinium rubrum	900	1900	34.9041818	128.6058831
20120817	1	Cochlodinium polykrikoides	30	1780	34.38798585	126.889774
20120817	1	Cochlodinium polykrikoides	92	1489	34.38798585	126.889774
20030916	0	NA	100	15000	35.98607	129.563832
20120815	1	Cochlodinium polykrikoides	50	1235	34.3665171	126.8837733
20120817	1	Cochlodinium polykrikoides	120	720	34.38798585	126.889774
20120817	1	Cochlodinium polykrikoides	630	2630	34.38798585	126.889774
20120817	1	Cochlodinium polykrikoides	40	580	34.38798585	126.889774
20120817	1	Cochlodinium polykrikoides	80	640	34.38798585	126.889774
20120815	0	Cochlodinium polykrikoides	0	0	34.3665171	126.8837733
20120815	1	Cochlodinium polykrikoides	20	710	34.3665171	126.8837733
20120815	1	Cochlodinium polykrikoides	330	1050	34.3665171	126.8837733
20120825	1	Cochlodinium polykrikoides	10	1150	34.38652447	126.9498111
20120825	1	Cochlodinium polykrikoides	40	200	34.38652447	126.9498111
20120822	1	Cochlodinium polykrikoides	230	610	34.3642586	126.9485089
20120825	0	Cochlodinium polykrikoides	0	0	34.38652447	126.9498111
20120825	1	Cochlodinium polykrikoides	310	490	34.38652447	126.9498111
20120823	1	Cochlodinium polykrikoides	50	550	34.39714196	126.9388021
20120822	1	Cochlodinium polykrikoides	562	4854	34.3642586	126.9485089
20120823	1	Cochlodinium polykrikoides	2520	3980	34.39714196	126.9388021
20120823	1	Cochlodinium polykrikoides	13	592	34.39714196	126.9388021
20120822	1	Cochlodinium polykrikoides	210	1480	34.3642586	126.9485089
20120822	1	Cochlodinium polykrikoides	500	2400	34.3642586	126.9485089
20120822	0	Cochlodinium polykrikoides	0	0	34.3642586	126.9485089
20120825	0	Cochlodinium polykrikoides	0	0	34.38652447	126.9498111
20120825	1	Cochlodinium polykrikoides	55	4012	34.38652447	126.9498111
20120822	1	Cochlodinium polykrikoides	10	440	34.3642586	126.9485089
20120823	1	Cochlodinium polykrikoides	100	270	34.39714196	126.9388021
20120823	1	Cochlodinium polykrikoides	30	1020	34.39714196	126.9388021
20120823	0	Cochlodinium polykrikoides	0	0	34.39714196	126.9388021
20121005	0	Mesodinium rubrum	10630	16202	33.61849606	126.695871
20120810	1	Cochlodinium polykrikoides	100	250	34.92002766	128.0997139
20120810	0	Cochlodinium polykrikoides	10	80	34.92002766	128.0997139
20120810	1	Cochlodinium polykrikoides	300	900	34.92002766	128.0997139
20120810	1	Cochlodinium polykrikoides	20	2000	34.92002766	128.0997139
20120810	1	Cochlodinium polykrikoides	19	2030	34.92002766	128.0997139
20120724	0	Ceratium furca	360	850	34.97855876	128.5419933
20120721	0	Ceratium furca	700	980	34.97536752	128.5306757
20120611	0	Heterosigma akashiwo	12000	45000	35.17296116	128.6273312
20120926	0	Chaetoceros spp.	2940	5910	35.0530089	128.6937063
20121014	0	Ceratium furca	0	0	34.9387527	128.7174248
20121014	0	Mesodinium rubrum	1100	2200	34.9387527	128.7174248
20120601	0	Heterosigma akashiwo	15000	45000	35.18968061	128.5741995
20121014	0	Mesodinium rubrum	840	1900	34.9387527	128.7174248
20120820	1	Cochlodinium polykrikoides	770	1940	34.47691016	127.1926504
20120820	1	Cochlodinium polykrikoides	72	663	34.47691016	127.1926504
20120820	1	Cochlodinium polykrikoides	1960	5480	34.47691016	127.1926504
20120820	1	Cochlodinium polykrikoides	80	260	34.47691016	127.1926504
20120820	1	Cochlodinium polykrikoides	80	6000	34.47691016	127.1926504
20120820	1	Cochlodinium polykrikoides	200	1100	34.47691016	127.1926504
20130819	1	Cochlodinium polykrikoides	120	1350	37.44542133	129.2049977
20130819	1	Cochlodinium polykrikoides	180	1120	37.44542133	129.2049977
20130819	1	Cochlodinium polykrikoides	1650	6600	37.44542133	129.2049977
20130819	1	Cochlodinium polykrikoides	100	10000	37.44542133	129.2049977
20130819	1	Cochlodinium polykrikoides	20	1020	37.44542133	129.2049977
20130819	1	Cochlodinium polykrikoides	20	1670	37.44542133	129.2049977
20130819	1	Cochlodinium polykrikoides	40	950	37.44542133	129.2049977
20130819	1	Cochlodinium polykrikoides	100	5600	37.44542133	129.2049977
20130815	1	Cochlodinium polykrikoides	300	900	37.16003284	129.3724424
20130815	1	Cochlodinium polykrikoides	420	16520	37.16003284	129.3724424
20130815	1	Cochlodinium polykrikoides	240	5200	37.16003284	129.3724424
20130815	1	Cochlodinium polykrikoides	100	12500	37.16003284	129.3724424
20130816	1	Cochlodinium polykrikoides	500	15000	36.65817108	129.4457304
20130822	1	Cochlodinium polykrikoides	150	800	36.65772625	129.4391077
20130814	1	Cochlodinium polykrikoides	1000	12000	36.58266014	129.4367761
20130816	1	Cochlodinium polykrikoides	320	2070	36.65817108	129.4457304
20130822	1	Cochlodinium polykrikoides	20	920	36.65772625	129.4391077
20130816	1	Cochlodinium polykrikoides	50	2240	36.65817108	129.4457304
20130822	1	Cochlodinium polykrikoides	40	8930	36.65772625	129.4391077
20130817	1	Cochlodinium polykrikoides	50	1213	36.49525765	129.4521017
20130816	1	Cochlodinium polykrikoides	500	7000	36.65817108	129.4457304
20130821	1	Cochlodinium polykrikoides	50	150	36.5162489	129.4605394
20130816	1	Cochlodinium polykrikoides	140	5280	36.65817108	129.4457304
20130814	1	Cochlodinium polykrikoides	300	13000	36.58266014	129.4367761
20130814	1	Cochlodinium polykrikoides	280	4100	36.58266014	129.4367761
20130821	1	Cochlodinium polykrikoides	100	420	36.5162489	129.4605394
20130817	1	Cochlodinium polykrikoides	50	2240	36.49525765	129.4521017
20070823	1	Cochlodinium polykrikoides	3500	4000	36.2564638	129.5320336
20070823	1	Cochlodinium polykrikoides	1500	2500	36.2564638	129.5320336
20130816	1	Cochlodinium polykrikoides	420	14040	36.65817108	129.4457304
20130822	1	Cochlodinium polykrikoides	50	150	36.65772625	129.4391077
20130821	1	Cochlodinium polykrikoides	20	12000	36.5162489	129.4605394
20130817	1	Cochlodinium polykrikoides	1980	3200	36.49525765	129.4521017
20130814	1	Cochlodinium polykrikoides	450	3050	36.58266014	129.4367761
20130821	1	Cochlodinium polykrikoides	220	280	36.5162489	129.4605394
20130814	1	Cochlodinium polykrikoides	150	4500	36.58266014	129.4367761
20130821	1	Cochlodinium polykrikoides	150	1000	36.5162489	129.4605394
20130814	1	Cochlodinium polykrikoides	5000	16000	36.58266014	129.4367761
20130821	1	Cochlodinium polykrikoides	40	950	36.5162489	129.4605394
20130822	1	Cochlodinium polykrikoides	200	1000	36.65772625	129.4391077
20130816	1	Cochlodinium polykrikoides	200	6000	36.65817108	129.4457304
20130821	1	Cochlodinium polykrikoides	200	10000	36.5162489	129.4605394
