발생날짜,조사해역,원인생물,생물밀도(max),생물밀도(min),수온(max),수온(min),속보코드
20180804,경남 남해군~하동군~사천 해역,Cochlodinium polykrikoides,700,45,29,24.7,20180804-001
20180804,경남 남해군~하동군~사천 해역,Cochlodinium polykrikoides,930,80,29,24.7,20180804-001
20180804,경남 남해군~하동군~사천 해역,Cochlodinium polykrikoides,120,10,29,24.7,20180804-001
20180804,경남 고성군~통영시 해역,Cochlodinium polykrikoides,700,45,29.6,27.6,20180804-001
20180804,경남 고성군~통영시 해역,Cochlodinium polykrikoides,930,80,29.6,27.6,20180804-001
20180804,경남 고성군~통영시 해역,Cochlodinium polykrikoides,120,10,29.6,27.6,20180804-001
20180803,전남 여수시 화정면~남면~돌산읍 해역,Cochlodinium polykrikoides,1000,40,26.7,25.8,20180803-002
20180803,전남 여수시 화정면~남면~돌산읍 해역,Cochlodinium polykrikoides,1400,40,26.7,25.8,20180803-002
20180803,전남 여수시 화정면~남면~돌산읍 해역,Cochlodinium polykrikoides,760,20,26.7,25.8,20180803-002
20180803,경남 남해군~하동군~사천 해역,Cochlodinium polykrikoides,1000,40,28.2,23.7,20180803-002
20180803,경남 남해군~하동군~사천 해역,Cochlodinium polykrikoides,1400,40,28.2,23.7,20180803-002
20180803,경남 남해군~하동군~사천 해역,Cochlodinium polykrikoides,760,20,28.2,23.7,20180803-002
20180803,경남 고성군~통영시 해역,Cochlodinium polykrikoides,1000,40,29,26.8,20180803-002
20180803,경남 고성군~통영시 해역,Cochlodinium polykrikoides,1400,40,29,26.8,20180803-002
20180803,경남 고성군~통영시 해역,Cochlodinium polykrikoides,760,20,29,26.8,20180803-002
20180802,전남 여수시 화정면~남면~돌산읍 해역,Cochlodinium polykrikoides,560,480,28.6,25.2,20180802-001
20180802,전남 여수시 화정면~남면~돌산읍 해역,Cochlodinium polykrikoides,1200,50,28.6,25.2,20180802-001
20180802,전남 여수시 화정면~남면~돌산읍 해역,Cochlodinium polykrikoides,1800,320,28.6,25.2,20180802-001
20180802,전남 여수시 화정면~남면~돌산읍 해역,Cochlodinium polykrikoides,1680,20,28.6,25.2,20180802-001
20180802,경남 남해군~하동군 해역,Cochlodinium polykrikoides,560,480,29.1,25.1,20180802-001
20180802,경남 남해군~하동군 해역,Cochlodinium polykrikoides,1200,50,29.1,25.1,20180802-001
20180802,경남 남해군~하동군 해역,Cochlodinium polykrikoides,1800,320,29.1,25.1,20180802-001
20180802,경남 남해군~하동군 해역,Cochlodinium polykrikoides,1680,20,29.1,25.1,20180802-001
20180802,"경남 고성군 삼산~통영시 사량, 욕지~연화~학림~용초 해역",Cochlodinium polykrikoides,560,480,29.9,26,20180802-001
20180802,"경남 고성군 삼산~통영시 사량, 욕지~연화~학림~용초 해역",Cochlodinium polykrikoides,1200,50,29.9,26,20180802-001
20180802,"경남 고성군 삼산~통영시 사량, 욕지~연화~학림~용초 해역",Cochlodinium polykrikoides,1800,320,29.9,26,20180802-001
20180802,"경남 고성군 삼산~통영시 사량, 욕지~연화~학림~용초 해역",Cochlodinium polykrikoides,1680,20,29.9,26,20180802-001
20180802,경남 거제시 동부면,Cochlodinium polykrikoides,560,480,27.5,25.3,20180802-001
20180802,경남 거제시 동부면,Cochlodinium polykrikoides,1200,50,27.5,25.3,20180802-001
20180802,경남 거제시 동부면,Cochlodinium polykrikoides,1800,320,27.5,25.3,20180802-001
20180802,경남 거제시 동부면,Cochlodinium polykrikoides,1680,20,27.5,25.3,20180802-001
20180801,전남 고흥군 동일면 상부,Cochlodinium polykrikoides,700,120,27.2,27.2,20180801-001
20180801,전남 고흥군 동일면 상부,Cochlodinium polykrikoides,1000,100,27.2,27.2,20180801-001
20180801,전남 고흥군 동일면 상부,Cochlodinium polykrikoides,1000,40,27.2,27.2,20180801-001
20180801,전남 고흥군 동일면 상부,Cochlodinium polykrikoides,1200,40,27.2,27.2,20180801-001
20180801,전남 고흥군 동일면 상부,Cochlodinium polykrikoides,940,10,27.2,27.2,20180801-001
20180801,전남 고흥군 동일면 상부,Cochlodinium polykrikoides,1850,400,27.2,27.2,20180801-001
20180801,전남 여수시 화정면~남면∼돌산읍 해역,Cochlodinium polykrikoides,700,120,30.3,25,20180801-001
20180801,전남 여수시 화정면~남면∼돌산읍 해역,Cochlodinium polykrikoides,1000,100,30.3,25,20180801-001
20180801,전남 여수시 화정면~남면∼돌산읍 해역,Cochlodinium polykrikoides,1000,40,30.3,25,20180801-001
20180801,전남 여수시 화정면~남면∼돌산읍 해역,Cochlodinium polykrikoides,1200,40,30.3,25,20180801-001
20180801,전남 여수시 화정면~남면∼돌산읍 해역,Cochlodinium polykrikoides,940,10,30.3,25,20180801-001
20180801,전남 여수시 화정면~남면∼돌산읍 해역,Cochlodinium polykrikoides,1850,400,30.3,25,20180801-001
20180801,경남 남해군 및 하동군 대도해역,Cochlodinium polykrikoides,700,120,27.5,24.3,20180801-001
20180801,경남 남해군 및 하동군 대도해역,Cochlodinium polykrikoides,1000,100,27.5,24.3,20180801-001
20180801,경남 남해군 및 하동군 대도해역,Cochlodinium polykrikoides,1000,40,27.5,24.3,20180801-001
20180801,경남 남해군 및 하동군 대도해역,Cochlodinium polykrikoides,1200,40,27.5,24.3,20180801-001
20180801,경남 남해군 및 하동군 대도해역,Cochlodinium polykrikoides,940,10,27.5,24.3,20180801-001
20180801,경남 남해군 및 하동군 대도해역,Cochlodinium polykrikoides,1850,400,27.5,24.3,20180801-001
20180801,"경남 고성군 삼산면, 하이면",Cochlodinium polykrikoides,700,120,28.8,27.1,20180801-001
20180801,"경남 고성군 삼산면, 하이면",Cochlodinium polykrikoides,1000,100,28.8,27.1,20180801-001
20180801,"경남 고성군 삼산면, 하이면",Cochlodinium polykrikoides,1000,40,28.8,27.1,20180801-001
20180801,"경남 고성군 삼산면, 하이면",Cochlodinium polykrikoides,1200,40,28.8,27.1,20180801-001
20180801,"경남 고성군 삼산면, 하이면",Cochlodinium polykrikoides,940,10,28.8,27.1,20180801-001
20180801,"경남 고성군 삼산면, 하이면",Cochlodinium polykrikoides,1850,400,28.8,27.1,20180801-001
20180801,경남 통영시 해역,Cochlodinium polykrikoides,700,120,27.9,23.1,20180801-001
20180801,경남 통영시 해역,Cochlodinium polykrikoides,1000,100,27.9,23.1,20180801-001
20180801,경남 통영시 해역,Cochlodinium polykrikoides,1000,40,27.9,23.1,20180801-001
20180801,경남 통영시 해역,Cochlodinium polykrikoides,1200,40,27.9,23.1,20180801-001
20180801,경남 통영시 해역,Cochlodinium polykrikoides,940,10,27.9,23.1,20180801-001
20180801,경남 통영시 해역,Cochlodinium polykrikoides,1850,400,27.9,23.1,20180801-001
20180801,"경남 거제시 남부면, 동부면",Cochlodinium polykrikoides,700,120,27.5,24.9,20180801-001
20180801,"경남 거제시 남부면, 동부면",Cochlodinium polykrikoides,1000,100,27.5,24.9,20180801-001
20180801,"경남 거제시 남부면, 동부면",Cochlodinium polykrikoides,1000,40,27.5,24.9,20180801-001
20180801,"경남 거제시 남부면, 동부면",Cochlodinium polykrikoides,1200,40,27.5,24.9,20180801-001
20180801,"경남 거제시 남부면, 동부면",Cochlodinium polykrikoides,940,10,27.5,24.9,20180801-001
