발생날짜,조사해역,원인생물,생물밀도(max),생물밀도(min),수온(max),수온(min),속보코드
20150909,"통영 욕지~연화, 거제 학동~수산
",Cochlodinium polykrikoides,3500,500,24.3,23.1,2015090901
20150909,"통영 욕지~연화, 거제 학동~수산
",Cochlodinium polykrikoides,50,10,24.3,23.1,2015090901
20150909,"포항 남구(강사~석병), 울진(근남면 진복)
",Cochlodinium polykrikoides,1500,150,23,21.9,2015090901
20150909,"포항 남구(강사~석병), 울진(근남면 진복)
",Cochlodinium polykrikoides,460,10,23,21.9,2015090901
20150909,"포항 남구(강사~석병), 울진(근남면 진복)
",Cochlodinium polykrikoides,2800,400,23,21.9,2015090901
20150909,"포항 남구(강사~석병), 울진(근남면 진복)
",Cochlodinium polykrikoides,6300,820,23,21.9,2015090901
20150909,"포항 남구(강사~석병), 울진(근남면 진복)
",Cochlodinium polykrikoides,7380,130,23,21.9,2015090901
20150909,"포항 남구(강사~석병), 울진(근남면 진복)
",Cochlodinium polykrikoides,1040,30,23,21.9,2015090901
20150909,"포항 남구(강사~석병), 울진(근남면 진복)
",Cochlodinium polykrikoides,3500,500,23,21.9,2015090901
20150909,"포항 남구(강사~석병), 울진(근남면 진복)
",Cochlodinium polykrikoides,50,10,23,21.9,2015090901
20150908,"완도 군의~신지(모항~송곡~동고)~약산(해동~어두리)~금일(일정~용항), 소안~망석리, 보길(백도)~소안(미라)~청산(대모도~지리)",Cochlodinium polykrikoides,1600,208,25.4,22.6,2015090801
20150908,"완도 군의~신지(모항~송곡~동고)~약산(해동~어두리)~금일(일정~용항), 소안~망석리, 보길(백도)~소안(미라)~청산(대모도~지리)",Cochlodinium polykrikoides,4750,600,25.4,22.6,2015090801
20150908,"완도 군의~신지(모항~송곡~동고)~약산(해동~어두리)~금일(일정~용항), 소안~망석리, 보길(백도)~소안(미라)~청산(대모도~지리)",Cochlodinium polykrikoides,3280,150,25.4,22.6,2015090801
20150908,"완도 군의~신지(모항~송곡~동고)~약산(해동~어두리)~금일(일정~용항), 소안~망석리, 보길(백도)~소안(미라)~청산(대모도~지리)",Cochlodinium polykrikoides,10,8,25.4,22.6,2015090801
20150908,"완도 군의~신지(모항~송곡~동고)~약산(해동~어두리)~금일(일정~용항), 소안~망석리, 보길(백도)~소안(미라)~청산(대모도~지리)",Cochlodinium polykrikoides,160,160,25.4,22.6,2015090801
20150908,"완도 군의~신지(모항~송곡~동고)~약산(해동~어두리)~금일(일정~용항), 소안~망석리, 보길(백도)~소안(미라)~청산(대모도~지리)",Cochlodinium polykrikoides,5000,10,25.4,22.6,2015090801
20150908,"완도 군의~신지(모항~송곡~동고)~약산(해동~어두리)~금일(일정~용항), 소안~망석리, 보길(백도)~소안(미라)~청산(대모도~지리)",Cochlodinium polykrikoides,4180,870,25.4,22.6,2015090801
20150908,"완도 군의~신지(모항~송곡~동고)~약산(해동~어두리)~금일(일정~용항), 소안~망석리, 보길(백도)~소안(미라)~청산(대모도~지리)",Cochlodinium polykrikoides,300,30,25.4,22.6,2015090801
20150908,"강진(수인~서중), 장흥 관산(우산)~회진(대리~노력)",Cochlodinium polykrikoides,1600,208,25.3,25,2015090801
20150908,"강진(수인~서중), 장흥 관산(우산)~회진(대리~노력)",Cochlodinium polykrikoides,4750,600,25.3,25,2015090801
20150908,"강진(수인~서중), 장흥 관산(우산)~회진(대리~노력)",Cochlodinium polykrikoides,3280,150,25.3,25,2015090801
20150908,"강진(수인~서중), 장흥 관산(우산)~회진(대리~노력)",Cochlodinium polykrikoides,10,8,25.3,25,2015090801
20150908,"강진(수인~서중), 장흥 관산(우산)~회진(대리~노력)",Cochlodinium polykrikoides,160,160,25.3,25,2015090801
20150908,"강진(수인~서중), 장흥 관산(우산)~회진(대리~노력)",Cochlodinium polykrikoides,5000,10,25.3,25,2015090801
20150908,"강진(수인~서중), 장흥 관산(우산)~회진(대리~노력)",Cochlodinium polykrikoides,4180,870,25.3,25,2015090801
20150908,"강진(수인~서중), 장흥 관산(우산)~회진(대리~노력)",Cochlodinium polykrikoides,300,30,25.3,25,2015090801
20150908,고흥 금산(신촌~익금~명천~신평)~도양(잠두~장예~소록도~화도)~도화(구암),Cochlodinium polykrikoides,1600,208,25.1,23.9,2015090801
20150908,고흥 금산(신촌~익금~명천~신평)~도양(잠두~장예~소록도~화도)~도화(구암),Cochlodinium polykrikoides,4750,600,25.1,23.9,2015090801
20150908,고흥 금산(신촌~익금~명천~신평)~도양(잠두~장예~소록도~화도)~도화(구암),Cochlodinium polykrikoides,3280,150,25.1,23.9,2015090801
20150908,고흥 금산(신촌~익금~명천~신평)~도양(잠두~장예~소록도~화도)~도화(구암),Cochlodinium polykrikoides,10,8,25.1,23.9,2015090801
20150908,고흥 금산(신촌~익금~명천~신평)~도양(잠두~장예~소록도~화도)~도화(구암),Cochlodinium polykrikoides,160,160,25.1,23.9,2015090801
20150908,고흥 금산(신촌~익금~명천~신평)~도양(잠두~장예~소록도~화도)~도화(구암),Cochlodinium polykrikoides,5000,10,25.1,23.9,2015090801
20150908,고흥 금산(신촌~익금~명천~신평)~도양(잠두~장예~소록도~화도)~도화(구암),Cochlodinium polykrikoides,4180,870,25.1,23.9,2015090801
20150908,고흥 금산(신촌~익금~명천~신평)~도양(잠두~장예~소록도~화도)~도화(구암),Cochlodinium polykrikoides,300,30,25.1,23.9,2015090801
20150908,"여수 금오수도(용두~여천)~월호수도~수항도, 두문포~향일암",Cochlodinium polykrikoides,1600,208,23.7,23.3,2015090801
20150908,"여수 금오수도(용두~여천)~월호수도~수항도, 두문포~향일암",Cochlodinium polykrikoides,4750,600,23.7,23.3,2015090801
20150908,"여수 금오수도(용두~여천)~월호수도~수항도, 두문포~향일암",Cochlodinium polykrikoides,3280,150,23.7,23.3,2015090801
20150908,"여수 금오수도(용두~여천)~월호수도~수항도, 두문포~향일암",Cochlodinium polykrikoides,10,8,23.7,23.3,2015090801
20150908,"여수 금오수도(용두~여천)~월호수도~수항도, 두문포~향일암",Cochlodinium polykrikoides,160,160,23.7,23.3,2015090801
20150908,"여수 금오수도(용두~여천)~월호수도~수항도, 두문포~향일암",Cochlodinium polykrikoides,5000,10,23.7,23.3,2015090801
20150908,"여수 금오수도(용두~여천)~월호수도~수항도, 두문포~향일암",Cochlodinium polykrikoides,4180,870,23.7,23.3,2015090801
20150908,"여수 금오수도(용두~여천)~월호수도~수항도, 두문포~향일암",Cochlodinium polykrikoides,300,30,23.7,23.3,2015090801
20150908,"남해 미조(조도~초전), 고성 하이 덕명",Cochlodinium polykrikoides,1600,208,24.5,23.5,2015090801
20150908,"남해 미조(조도~초전), 고성 하이 덕명",Cochlodinium polykrikoides,4750,600,24.5,23.5,2015090801
20150908,"남해 미조(조도~초전), 고성 하이 덕명",Cochlodinium polykrikoides,3280,150,24.5,23.5,2015090801
20150908,"남해 미조(조도~초전), 고성 하이 덕명",Cochlodinium polykrikoides,10,8,24.5,23.5,2015090801
20150908,"남해 미조(조도~초전), 고성 하이 덕명",Cochlodinium polykrikoides,160,160,24.5,23.5,2015090801
20150908,"남해 미조(조도~초전), 고성 하이 덕명",Cochlodinium polykrikoides,5000,10,24.5,23.5,2015090801
20150908,"남해 미조(조도~초전), 고성 하이 덕명",Cochlodinium polykrikoides,4180,870,24.5,23.5,2015090801
20150908,"남해 미조(조도~초전), 고성 하이 덕명",Cochlodinium polykrikoides,300,30,24.5,23.5,2015090801
20150908,울진 근남면 진복,Cochlodinium polykrikoides,1600,208,23,23,2015090801
20150908,울진 근남면 진복,Cochlodinium polykrikoides,4750,600,23,23,2015090801
20150908,울진 근남면 진복,Cochlodinium polykrikoides,3280,150,23,23,2015090801
20150908,울진 근남면 진복,Cochlodinium polykrikoides,10,8,23,23,2015090801
20150908,울진 근남면 진복,Cochlodinium polykrikoides,160,160,23,23,2015090801
20150908,울진 근남면 진복,Cochlodinium polykrikoides,5000,10,23,23,2015090801
20150908,울진 근남면 진복,Cochlodinium polykrikoides,4180,870,23,23,2015090801
20150908,울진 근남면 진복,Cochlodinium polykrikoides,300,30,23,23,2015090801
20150908,"진도 임회면(귀성~죽림), 의신면(접도), 고군면(금호도~구자도)",Cochlodinium polykrikoides,1600,208,25.2,22.2,2015090801
20150908,"진도 임회면(귀성~죽림), 의신면(접도), 고군면(금호도~구자도)",Cochlodinium polykrikoides,4750,600,25.2,22.2,2015090801
20150908,"진도 임회면(귀성~죽림), 의신면(접도), 고군면(금호도~구자도)",Cochlodinium polykrikoides,3280,150,25.2,22.2,2015090801
20150908,"진도 임회면(귀성~죽림), 의신면(접도), 고군면(금호도~구자도)",Cochlodinium polykrikoides,10,8,25.2,22.2,2015090801
20150908,"진도 임회면(귀성~죽림), 의신면(접도), 고군면(금호도~구자도)",Cochlodinium polykrikoides,160,160,25.2,22.2,2015090801
20150908,"진도 임회면(귀성~죽림), 의신면(접도), 고군면(금호도~구자도)",Cochlodinium polykrikoides,5000,10,25.2,22.2,2015090801
20150908,"진도 임회면(귀성~죽림), 의신면(접도), 고군면(금호도~구자도)",Cochlodinium polykrikoides,4180,870,25.2,22.2,2015090801
20150908,"진도 임회면(귀성~죽림), 의신면(접도), 고군면(금호도~구자도)",Cochlodinium polykrikoides,300,30,25.2,22.2,2015090801
20150908,통영 추도~곤리도,Cochlodinium polykrikoides,1600,208,23.1,23.1,2015090801
20150908,통영 추도~곤리도,Cochlodinium polykrikoides,4750,600,23.1,23.1,2015090801
20150908,통영 추도~곤리도,Cochlodinium polykrikoides,3280,150,23.1,23.1,2015090801
20150908,통영 추도~곤리도,Cochlodinium polykrikoides,10,8,23.1,23.1,2015090801
20150908,통영 추도~곤리도,Cochlodinium polykrikoides,160,160,23.1,23.1,2015090801
20150908,통영 추도~곤리도,Cochlodinium polykrikoides,5000,10,23.1,23.1,2015090801
20150908,통영 추도~곤리도,Cochlodinium polykrikoides,4180,870,23.1,23.1,2015090801
20150908,통영 추도~곤리도,Cochlodinium polykrikoides,300,30,23.1,23.1,2015090801
20150907,"여수 월호수도~송고~대유, 상동~향일암",Cochlodinium polykrikoides,7000,10,24.5,23.3,2015090702
20150907,"여수 월호수도~송고~대유, 상동~향일암",Cochlodinium polykrikoides,400,30,24.5,23.3,2015090702
20150907,"여수 월호수도~송고~대유, 상동~향일암",Cochlodinium polykrikoides,1800,84,24.5,23.3,2015090702
20150907,"여수 월호수도~송고~대유, 상동~향일암",Cochlodinium polykrikoides,3200,350,24.5,23.3,2015090702
20150907,"여수 월호수도~송고~대유, 상동~향일암",Cochlodinium polykrikoides,1936,16,24.5,23.3,2015090702
20150907,"여수 월호수도~송고~대유, 상동~향일암",Cochlodinium polykrikoides,3800,12,24.5,23.3,2015090702
20150907,"여수 월호수도~송고~대유, 상동~향일암",Cochlodinium polykrikoides,6200,120,24.5,23.3,2015090702
20150907," 남해 미조(사도~초전~대지포), 사천 신수, 고성 하이 덕명",Cochlodinium polykrikoides,7000,10,24.7,23.6,2015090702
20150907," 남해 미조(사도~초전~대지포), 사천 신수, 고성 하이 덕명",Cochlodinium polykrikoides,400,30,24.7,23.6,2015090702
20150907," 남해 미조(사도~초전~대지포), 사천 신수, 고성 하이 덕명",Cochlodinium polykrikoides,1800,84,24.7,23.6,2015090702
20150907," 남해 미조(사도~초전~대지포), 사천 신수, 고성 하이 덕명",Cochlodinium polykrikoides,3200,350,24.7,23.6,2015090702
20150907," 남해 미조(사도~초전~대지포), 사천 신수, 고성 하이 덕명",Cochlodinium polykrikoides,1936,16,24.7,23.6,2015090702
20150907," 남해 미조(사도~초전~대지포), 사천 신수, 고성 하이 덕명",Cochlodinium polykrikoides,3800,12,24.7,23.6,2015090702
20150907," 남해 미조(사도~초전~대지포), 사천 신수, 고성 하이 덕명",Cochlodinium polykrikoides,6200,120,24.7,23.6,2015090702
20150907,거제 거제만(소랑~산달),Cochlodinium polykrikoides,7000,10,23.6,23.6,2015090702
20150907,거제 거제만(소랑~산달),Cochlodinium polykrikoides,400,30,23.6,23.6,2015090702
20150907,거제 거제만(소랑~산달),Cochlodinium polykrikoides,1800,84,23.6,23.6,2015090702
20150907,거제 거제만(소랑~산달),Cochlodinium polykrikoides,3200,350,23.6,23.6,2015090702
20150907,거제 거제만(소랑~산달),Cochlodinium polykrikoides,1936,16,23.6,23.6,2015090702
20150907,거제 거제만(소랑~산달),Cochlodinium polykrikoides,3800,12,23.6,23.6,2015090702
20150907,거제 거제만(소랑~산달),Cochlodinium polykrikoides,6200,120,23.6,23.6,2015090702
20150907,"포항 남구 하정, 북구 오도",Cochlodinium polykrikoides,7000,10,23.3,21.8,2015090702
20150907,"포항 남구 하정, 북구 오도",Cochlodinium polykrikoides,400,30,23.3,21.8,2015090702
20150907,"포항 남구 하정, 북구 오도",Cochlodinium polykrikoides,1800,84,23.3,21.8,2015090702
20150907,"포항 남구 하정, 북구 오도",Cochlodinium polykrikoides,3200,350,23.3,21.8,2015090702
20150907,"포항 남구 하정, 북구 오도",Cochlodinium polykrikoides,1936,16,23.3,21.8,2015090702
20150907,"포항 남구 하정, 북구 오도",Cochlodinium polykrikoides,3800,12,23.3,21.8,2015090702
20150907,"포항 남구 하정, 북구 오도",Cochlodinium polykrikoides,6200,120,23.3,21.8,2015090702
20150907,"완도 군의~신지(모항~송곡~동고)~약산(해동~어두리)~금일(일정~용항), 소안~망석리, 보길(백도)~소안(미라)~청산(대모도~지리)",Cochlodinium polykrikoides,7000,10,24.8,22.8,2015090702
20150907,"완도 군의~신지(모항~송곡~동고)~약산(해동~어두리)~금일(일정~용항), 소안~망석리, 보길(백도)~소안(미라)~청산(대모도~지리)",Cochlodinium polykrikoides,400,30,24.8,22.8,2015090702
20150907,"완도 군의~신지(모항~송곡~동고)~약산(해동~어두리)~금일(일정~용항), 소안~망석리, 보길(백도)~소안(미라)~청산(대모도~지리)",Cochlodinium polykrikoides,1800,84,24.8,22.8,2015090702
20150907,"완도 군의~신지(모항~송곡~동고)~약산(해동~어두리)~금일(일정~용항), 소안~망석리, 보길(백도)~소안(미라)~청산(대모도~지리)",Cochlodinium polykrikoides,3200,350,24.8,22.8,2015090702
20150907,"완도 군의~신지(모항~송곡~동고)~약산(해동~어두리)~금일(일정~용항), 소안~망석리, 보길(백도)~소안(미라)~청산(대모도~지리)",Cochlodinium polykrikoides,1936,16,24.8,22.8,2015090702
20150907,"완도 군의~신지(모항~송곡~동고)~약산(해동~어두리)~금일(일정~용항), 소안~망석리, 보길(백도)~소안(미라)~청산(대모도~지리)",Cochlodinium polykrikoides,3800,12,24.8,22.8,2015090702
20150907,"완도 군의~신지(모항~송곡~동고)~약산(해동~어두리)~금일(일정~용항), 소안~망석리, 보길(백도)~소안(미라)~청산(대모도~지리)",Cochlodinium polykrikoides,6200,120,24.8,22.8,2015090702
20150907,"강진(수인~마량), 장흥 관산(장환~우산)~회진(대리~노력)",Cochlodinium polykrikoides,7000,10,25.5,25,2015090702
20150907,"강진(수인~마량), 장흥 관산(장환~우산)~회진(대리~노력)",Cochlodinium polykrikoides,400,30,25.5,25,2015090702
20150907,"강진(수인~마량), 장흥 관산(장환~우산)~회진(대리~노력)",Cochlodinium polykrikoides,1800,84,25.5,25,2015090702
20150907,"강진(수인~마량), 장흥 관산(장환~우산)~회진(대리~노력)",Cochlodinium polykrikoides,3200,350,25.5,25,2015090702
20150907,"강진(수인~마량), 장흥 관산(장환~우산)~회진(대리~노력)",Cochlodinium polykrikoides,1936,16,25.5,25,2015090702
20150907,"강진(수인~마량), 장흥 관산(장환~우산)~회진(대리~노력)",Cochlodinium polykrikoides,3800,12,25.5,25,2015090702
20150907,"강진(수인~마량), 장흥 관산(장환~우산)~회진(대리~노력)",Cochlodinium polykrikoides,6200,120,25.5,25,2015090702
20150907,고흥 금산(신촌~익금~명천)~도양(소록도~화도)~도화(구암~하동),Cochlodinium polykrikoides,7000,10,24.7,23.8,2015090702
20150907,고흥 금산(신촌~익금~명천)~도양(소록도~화도)~도화(구암~하동),Cochlodinium polykrikoides,400,30,24.7,23.8,2015090702
20150907,고흥 금산(신촌~익금~명천)~도양(소록도~화도)~도화(구암~하동),Cochlodinium polykrikoides,1800,84,24.7,23.8,2015090702
20150907,고흥 금산(신촌~익금~명천)~도양(소록도~화도)~도화(구암~하동),Cochlodinium polykrikoides,3200,350,24.7,23.8,2015090702
20150907,고흥 금산(신촌~익금~명천)~도양(소록도~화도)~도화(구암~하동),Cochlodinium polykrikoides,1936,16,24.7,23.8,2015090702
20150907,고흥 금산(신촌~익금~명천)~도양(소록도~화도)~도화(구암~하동),Cochlodinium polykrikoides,3800,12,24.7,23.8,2015090702
20150907,고흥 금산(신촌~익금~명천)~도양(소록도~화도)~도화(구암~하동),Cochlodinium polykrikoides,6200,120,24.7,23.8,2015090702
20150907,"진도 의신면 접도 지선
",Cochlodinium polykrikoides,50,30,23.8,23.4,2015090701
20150906,"완도 완도항~신지(모황도), 신지대교~고금(척찬)~신지(동고)~약산(어두리)~금일(일정~용항), 보길(예송)~소안(미라)~청산(대모도~지리), 소안(구도)~망석리",Cochlodinium polykrikoides,400,10,25.5,22.4,2015090601
20150906,"완도 완도항~신지(모황도), 신지대교~고금(척찬)~신지(동고)~약산(어두리)~금일(일정~용항), 보길(예송)~소안(미라)~청산(대모도~지리), 소안(구도)~망석리",Cochlodinium polykrikoides,2100,30,25.5,22.4,2015090601
20150906,"완도 완도항~신지(모황도), 신지대교~고금(척찬)~신지(동고)~약산(어두리)~금일(일정~용항), 보길(예송)~소안(미라)~청산(대모도~지리), 소안(구도)~망석리",Cochlodinium polykrikoides,4650,800,25.5,22.4,2015090601
20150906,"완도 완도항~신지(모황도), 신지대교~고금(척찬)~신지(동고)~약산(어두리)~금일(일정~용항), 보길(예송)~소안(미라)~청산(대모도~지리), 소안(구도)~망석리",Cochlodinium polykrikoides,300,50,25.5,22.4,2015090601
20150906,"완도 완도항~신지(모황도), 신지대교~고금(척찬)~신지(동고)~약산(어두리)~금일(일정~용항), 보길(예송)~소안(미라)~청산(대모도~지리), 소안(구도)~망석리",Cochlodinium polykrikoides,1500,180,25.5,22.4,2015090601
20150906,"완도 완도항~신지(모황도), 신지대교~고금(척찬)~신지(동고)~약산(어두리)~금일(일정~용항), 보길(예송)~소안(미라)~청산(대모도~지리), 소안(구도)~망석리",Cochlodinium polykrikoides,9200,400,25.5,22.4,2015090601
20150906,"완도 완도항~신지(모황도), 신지대교~고금(척찬)~신지(동고)~약산(어두리)~금일(일정~용항), 보길(예송)~소안(미라)~청산(대모도~지리), 소안(구도)~망석리",Cochlodinium polykrikoides,250,230,25.5,22.4,2015090601
20150906,강진(수인~마량)~장흥 관산(장환~우산)~회진(대리~노력),Cochlodinium polykrikoides,400,10,26,24.5,2015090601
20150906,강진(수인~마량)~장흥 관산(장환~우산)~회진(대리~노력),Cochlodinium polykrikoides,2100,30,26,24.5,2015090601
20150906,강진(수인~마량)~장흥 관산(장환~우산)~회진(대리~노력),Cochlodinium polykrikoides,4650,800,26,24.5,2015090601
20150906,강진(수인~마량)~장흥 관산(장환~우산)~회진(대리~노력),Cochlodinium polykrikoides,300,50,26,24.5,2015090601
20150906,강진(수인~마량)~장흥 관산(장환~우산)~회진(대리~노력),Cochlodinium polykrikoides,1500,180,26,24.5,2015090601
20150906,강진(수인~마량)~장흥 관산(장환~우산)~회진(대리~노력),Cochlodinium polykrikoides,9200,400,26,24.5,2015090601
20150906,강진(수인~마량)~장흥 관산(장환~우산)~회진(대리~노력),Cochlodinium polykrikoides,250,230,26,24.5,2015090601
20150906,고흥 금산(신촌~익금~명천~신평)~도양(장예~봉암)~오마~도화(구암),Cochlodinium polykrikoides,400,10,25.1,23.9,2015090601
20150906,고흥 금산(신촌~익금~명천~신평)~도양(장예~봉암)~오마~도화(구암),Cochlodinium polykrikoides,2100,30,25.1,23.9,2015090601
20150906,고흥 금산(신촌~익금~명천~신평)~도양(장예~봉암)~오마~도화(구암),Cochlodinium polykrikoides,4650,800,25.1,23.9,2015090601
20150906,고흥 금산(신촌~익금~명천~신평)~도양(장예~봉암)~오마~도화(구암),Cochlodinium polykrikoides,300,50,25.1,23.9,2015090601
20150906,고흥 금산(신촌~익금~명천~신평)~도양(장예~봉암)~오마~도화(구암),Cochlodinium polykrikoides,1500,180,25.1,23.9,2015090601
20150906,고흥 금산(신촌~익금~명천~신평)~도양(장예~봉암)~오마~도화(구암),Cochlodinium polykrikoides,9200,400,25.1,23.9,2015090601
20150906,고흥 금산(신촌~익금~명천~신평)~도양(장예~봉암)~오마~도화(구암),Cochlodinium polykrikoides,250,230,25.1,23.9,2015090601
20150906,남해 미조(사도~초전)~고성 하이 덕명,Cochlodinium polykrikoides,400,10,25.8,23.6,2015090601
20150906,남해 미조(사도~초전)~고성 하이 덕명,Cochlodinium polykrikoides,2100,30,25.8,23.6,2015090601
20150906,남해 미조(사도~초전)~고성 하이 덕명,Cochlodinium polykrikoides,4650,800,25.8,23.6,2015090601
20150906,남해 미조(사도~초전)~고성 하이 덕명,Cochlodinium polykrikoides,300,50,25.8,23.6,2015090601
20150906,남해 미조(사도~초전)~고성 하이 덕명,Cochlodinium polykrikoides,1500,180,25.8,23.6,2015090601
20150906,남해 미조(사도~초전)~고성 하이 덕명,Cochlodinium polykrikoides,9200,400,25.8,23.6,2015090601
20150906,남해 미조(사도~초전)~고성 하이 덕명,Cochlodinium polykrikoides,250,230,25.8,23.6,2015090601
20150906,거제 법동~소랑~산달,Cochlodinium polykrikoides,400,10,24.1,24.1,2015090601
20150906,거제 법동~소랑~산달,Cochlodinium polykrikoides,2100,30,24.1,24.1,2015090601
20150906,거제 법동~소랑~산달,Cochlodinium polykrikoides,4650,800,24.1,24.1,2015090601
20150906,거제 법동~소랑~산달,Cochlodinium polykrikoides,300,50,24.1,24.1,2015090601
20150906,거제 법동~소랑~산달,Cochlodinium polykrikoides,1500,180,24.1,24.1,2015090601
20150906,거제 법동~소랑~산달,Cochlodinium polykrikoides,9200,400,24.1,24.1,2015090601
20150906,거제 법동~소랑~산달,Cochlodinium polykrikoides,250,230,24.1,24.1,2015090601
20150906,"울산 울주군 이진~포항 하정~석병, 영일만, 북구 오도",Cochlodinium polykrikoides,400,10,24,21.4,2015090601
20150906,"울산 울주군 이진~포항 하정~석병, 영일만, 북구 오도",Cochlodinium polykrikoides,2100,30,24,21.4,2015090601
20150906,"울산 울주군 이진~포항 하정~석병, 영일만, 북구 오도",Cochlodinium polykrikoides,4650,800,24,21.4,2015090601
20150906,"울산 울주군 이진~포항 하정~석병, 영일만, 북구 오도",Cochlodinium polykrikoides,300,50,24,21.4,2015090601
20150906,"울산 울주군 이진~포항 하정~석병, 영일만, 북구 오도",Cochlodinium polykrikoides,1500,180,24,21.4,2015090601
20150906,"울산 울주군 이진~포항 하정~석병, 영일만, 북구 오도",Cochlodinium polykrikoides,9200,400,24,21.4,2015090601
20150906,"울산 울주군 이진~포항 하정~석병, 영일만, 북구 오도",Cochlodinium polykrikoides,250,230,24,21.4,2015090601
20150906,여수 두문포~향일암,Cochlodinium polykrikoides,400,10,24.4,23.9,2015090601
20150906,여수 두문포~향일암,Cochlodinium polykrikoides,2100,30,24.4,23.9,2015090601
20150906,여수 두문포~향일암,Cochlodinium polykrikoides,4650,800,24.4,23.9,2015090601
20150906,여수 두문포~향일암,Cochlodinium polykrikoides,300,50,24.4,23.9,2015090601
20150906,여수 두문포~향일암,Cochlodinium polykrikoides,1500,180,24.4,23.9,2015090601
20150906,여수 두문포~향일암,Cochlodinium polykrikoides,9200,400,24.4,23.9,2015090601
20150906,여수 두문포~향일암,Cochlodinium polykrikoides,250,230,24.4,23.9,2015090601
20150905,"완도 석장리~소안 횡간도, 신지(송곡~동고~어두)~고금(척찬), 금일(신도~충도~궁항), 청산(소대모도~지리), 보길(백도~중리)
",Cochlodinium polykrikoides,1020,10,23.5,22.3,2015090501
20150905,"완도 석장리~소안 횡간도, 신지(송곡~동고~어두)~고금(척찬), 금일(신도~충도~궁항), 청산(소대모도~지리), 보길(백도~중리)
",Cochlodinium polykrikoides,3328,16,23.5,22.3,2015090501
20150905,"완도 석장리~소안 횡간도, 신지(송곡~동고~어두)~고금(척찬), 금일(신도~충도~궁항), 청산(소대모도~지리), 보길(백도~중리)
",Cochlodinium polykrikoides,1000,500,23.5,22.3,2015090501
20150905,"완도 석장리~소안 횡간도, 신지(송곡~동고~어두)~고금(척찬), 금일(신도~충도~궁항), 청산(소대모도~지리), 보길(백도~중리)
",Cochlodinium polykrikoides,7400,220,23.5,22.3,2015090501
20150905,"완도 석장리~소안 횡간도, 신지(송곡~동고~어두)~고금(척찬), 금일(신도~충도~궁항), 청산(소대모도~지리), 보길(백도~중리)
",Cochlodinium polykrikoides,2500,90,23.5,22.3,2015090501
20150905,"완도 석장리~소안 횡간도, 신지(송곡~동고~어두)~고금(척찬), 금일(신도~충도~궁항), 청산(소대모도~지리), 보길(백도~중리)
",Cochlodinium polykrikoides,1500,180,23.5,22.3,2015090501
20150905,"완도 석장리~소안 횡간도, 신지(송곡~동고~어두)~고금(척찬), 금일(신도~충도~궁항), 청산(소대모도~지리), 보길(백도~중리)
",Cochlodinium polykrikoides,300,150,23.5,22.3,2015090501
20150905,"강진(남호~수인), 장흥 관산(장환~우산)~회진(대리~노력)",Cochlodinium polykrikoides,1020,10,25.6,23.6,2015090501
20150905,"강진(남호~수인), 장흥 관산(장환~우산)~회진(대리~노력)",Cochlodinium polykrikoides,3328,16,25.6,23.6,2015090501
20150905,"강진(남호~수인), 장흥 관산(장환~우산)~회진(대리~노력)",Cochlodinium polykrikoides,1000,500,25.6,23.6,2015090501
20150905,"강진(남호~수인), 장흥 관산(장환~우산)~회진(대리~노력)",Cochlodinium polykrikoides,7400,220,25.6,23.6,2015090501
20150905,"강진(남호~수인), 장흥 관산(장환~우산)~회진(대리~노력)",Cochlodinium polykrikoides,2500,90,25.6,23.6,2015090501
20150905,"강진(남호~수인), 장흥 관산(장환~우산)~회진(대리~노력)",Cochlodinium polykrikoides,1500,180,25.6,23.6,2015090501
20150905,"강진(남호~수인), 장흥 관산(장환~우산)~회진(대리~노력)",Cochlodinium polykrikoides,300,150,25.6,23.6,2015090501
20150905,"여수 두문포~향일암
",Cochlodinium polykrikoides,1020,10,23.7,23.1,2015090501
20150905,"여수 두문포~향일암
",Cochlodinium polykrikoides,3328,16,23.7,23.1,2015090501
20150905,"여수 두문포~향일암
",Cochlodinium polykrikoides,1000,500,23.7,23.1,2015090501
20150905,"여수 두문포~향일암
",Cochlodinium polykrikoides,7400,220,23.7,23.1,2015090501
20150905,"여수 두문포~향일암
",Cochlodinium polykrikoides,2500,90,23.7,23.1,2015090501
20150905,"여수 두문포~향일암
",Cochlodinium polykrikoides,1500,180,23.7,23.1,2015090501
20150905,"여수 두문포~향일암
",Cochlodinium polykrikoides,300,150,23.7,23.1,2015090501
20150905,"남해 (삼동 양화금~창선 장포), 고성 하이덕명",Cochlodinium polykrikoides,1020,10,25.3,24.4,2015090501
20150905,"남해 (삼동 양화금~창선 장포), 고성 하이덕명",Cochlodinium polykrikoides,3328,16,25.3,24.4,2015090501
20150905,"남해 (삼동 양화금~창선 장포), 고성 하이덕명",Cochlodinium polykrikoides,1000,500,25.3,24.4,2015090501
20150905,"남해 (삼동 양화금~창선 장포), 고성 하이덕명",Cochlodinium polykrikoides,7400,220,25.3,24.4,2015090501
20150905,"남해 (삼동 양화금~창선 장포), 고성 하이덕명",Cochlodinium polykrikoides,2500,90,25.3,24.4,2015090501
20150905,"남해 (삼동 양화금~창선 장포), 고성 하이덕명",Cochlodinium polykrikoides,1500,180,25.3,24.4,2015090501
20150905,"남해 (삼동 양화금~창선 장포), 고성 하이덕명",Cochlodinium polykrikoides,300,150,25.3,24.4,2015090501
